50 1.64 0.47 1.07 1.07 1.64 1.64 1.64 1.64 1.64
75 2.47 0.50 1.03 1.40 1.40 2.47 2.47 2.47 2.47
100 3.30 0.53 0.90 0.90 1.63 3.30 3.30 3.30 3.30
200 6.64 0.53 0.90 1.40 1.77 3.70 3.70 6.64 6.64
500 16.67 0.70 1.20 1.50 1.93 3.70 5.10 4.20 9.17
750 25.12 0.70 1.20 1.57 2.23 3.10 3.87 4.50 11.85
1000 33.75 0.67 1.47 1.53 2.53 2.83 3.80 4.61 9.08
2000 70.56 0.80 1.30 2.27 2.47 3.80 5.47 5.67 8.99
